epoch,accuracy,learning_rate,loss,sparse_categorical_accuracy,val_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.25,0.0010000000474974513,0.7871030569076538,0.25,1.0,0.635673999786377,1.0
1,0.5,0.0010000000474974513,0.8964279294013977,0.5,1.0,0.5858557820320129,1.0
2,0.75,0.0010000000474974513,0.44628453254699707,0.75,1.0,0.5445796847343445,1.0
3,0.5,0.0010000000474974513,0.4487752616405487,0.5,1.0,0.5176243185997009,1.0
4,0.75,0.0010000000474974513,0.32858267426490784,0.75,1.0,0.49900493025779724,1.0
5,0.75,0.0010000000474974513,0.2884882688522339,0.75,1.0,0.482173353433609,1.0
6,0.75,0.0010000000474974513,0.23037408292293549,0.75,1.0,0.4730907082557678,1.0
7,0.75,0.0010000000474974513,0.32772913575172424,0.75,1.0,0.47473955154418945,1.0
8,1.0,0.0010000000474974513,0.1836521476507187,1.0,1.0,0.4743286669254303,1.0
9,0.75,0.0010000000474974513,0.33778199553489685,0.75,1.0,0.47497934103012085,1.0
10,1.0,0.0010000000474974513,0.17230302095413208,1.0,1.0,0.47827962040901184,1.0
11,0.75,0.0010000000474974513,0.2988181412220001,0.75,1.0,0.48174870014190674,1.0
12,0.75,0.0005000000237487257,0.3349502384662628,0.75,1.0,0.4835425615310669,1.0
13,1.0,0.0005000000237487257,0.08373676985502243,1.0,1.0,0.48577064275741577,1.0
14,1.0,0.0005000000237487257,0.09990885108709335,1.0,1.0,0.4883863925933838,1.0
15,1.0,0.0005000000237487257,0.19633205235004425,1.0,1.0,0.4911499321460724,1.0
16,1.0,0.0005000000237487257,0.23199638724327087,1.0,1.0,0.4949248135089874,1.0
